State,District,Crop,Season,Area,Production,Yield,Risk
Arunachal Pradesh,Kamle,Ragi,Kharif,0.01,0.01,1076.0,Medium
Tripura,North Tripura,Rice,Rabi,0.0,0.0,3645.0,Low
Arunachal Pradesh,Pakke Kessang,Rice,Rabi,0.0,0.0,445.0,High
Madhya Pradesh,Vidisha,Maize,Summer,0.0,0.0,5096.0,Low
Karnataka,Davangere,Cereals,Summer,0.45,1.74,3874.0,Low
Karnataka,Tumakuru,Rice,Total,0.04,0.11,2999.0,Low
Madhya Pradesh,Morena,Tur,Kharif,0.02,0.02,1090.0,Medium
Rajasthan,Kota,Total Food Grains,Total,2.49,7.06,2838.0,Low
Telangana,Warangal,Jowar,Rabi,0.0,0.0,917.0,Medium
Rajasthan,Chittorgarh,Urad,Kharif,0.04,0.03,636.0,High
Bihar,Muzaffarpur,Maize,Total,0.3,1.13,3750.0,Low
Punjab,Pathankot,Wheat,Rabi,0.4,1.68,4184.0,Low
Telangana,Rajanna Sircilla,Cereals,Kharif,0.68,2.82,4125.0,Low
Punjab,Mansa,Moong,Total,0.08,0.05,649.0,High
Karnataka,Vijayanagar,Gram,Total,0.15,0.07,457.0,High
Andhra Pradesh,Prakasam,Bajra,Summer,0.0,0.0,2551.0,Low
Himachal Pradesh,Shimla,Ragi,Kharif,0.0,0.0,740.0,High
Karnataka,Chikkamagaluru,Maize,Rabi,0.0,0.02,3584.0,Low
Bihar,Jamui,Total Food Grains,Total,0.78,2.15,2763.0,Low
Karnataka,Gadag,Cereals,Summer,0.02,0.05,2083.0,Low
Telangana,Narayanpet,Nutri/Coarse Cereals,Total,0.04,0.04,1077.0,Medium
Madhya Pradesh,Shajapur,Total Food Grains,Summer,0.0,0.0,1030.0,Medium
Andhra Pradesh,Annamayya,Small Millets,Kharif,0.0,0.0,640.0,High
Karnataka,Raichur,Jowar,Total,0.72,1.23,1704.0,Medium
Jharkhand,Koderma,Other Pulses,Rabi,0.04,0.08,1963.0,Low
Karnataka,Dakshina Kannada,Rice,Kharif,0.03,0.09,2864.0,Low
Rajasthan,Kota,Barley,Rabi,0.0,0.01,3711.0,Low
Uttarakhand,Champawat,Wheat,Total,0.04,0.12,3152.0,Low
Andhra Pradesh,Srikakulam,Urad,Kharif,0.0,0.0,990.0,Medium
Uttarakhand,Haridwar,Wheat,Rabi,0.42,1.52,3670.0,Low
Rajasthan,Kota,Moong,Total,0.0,0.0,651.0,High
Arunachal Pradesh,Upper Subansiri,Lentil,Rabi,0.0,0.0,860.0,High
Bihar,Khagaria,Other Pulses,Kharif,0.0,0.0,707.0,High
Telangana,Narayanpet,Jowar,Kharif,0.03,0.03,817.0,High
Tripura,Sepahijala,Wheat,Rabi,0.0,0.0,2200.0,Low
Bihar,Munger,Moong,Total,0.0,0.0,459.0,High
Andhra Pradesh,Nandyal,Maize,Kharif,0.55,2.47,4521.0,Low
Rajasthan,Udaipur,Urad,Kharif,0.02,0.01,400.0,High
Bihar,Vaishali,Small Millets,Total,0.0,0.0,604.0,High
